Artist|Title|Lyrics
Nicki Minaj|No Frauds|"  [Intro] M-M-Murda  [Pre-Hook: Nicki Minaj] I don't need no, frauds I don't need no, drama when you call I don't need no, fake Soon as I wake up keep an eye out for the snakes, yeah  [Hook: Nicki Minaj] 'Cause I don't need no, fraud I don't no, drama when you call I don't need no, lies Pick a side, pick a side I took the price, and lift that bitch up I took the ice, let me lift my wrist up I took the price, and lift that bitch up I took the ice, let me lift my wrist up  [Verse 1: Nicki Minaj] Aye yo, throw your wrist-es up, all my bitches up These niggas is pussier than what? All them dicks is up All my real niggas down to ride, throw your GSXRs up I ain't in the projects, but all my bricks is up, rrrr You can't be Pablo if your work ain't sellin' What the fuck is this bitch inhalin'? I woulda helped you out that pit you fell in I am the generous queen! Ask Ms. Ellen Tried to drop ""Another One"", you was itchin' to scrap You exposed your ghostwriter, now you wish it was scrapped Heard your pussy on yuck, I guess you needed a Pap What type of bum bitch shoot a friend over a rack? What type of mother leave her one son over a stack? Lil Boogie down basic bitch thinkin' she back Back to back, oh you mean, back to wack? ""Back to Back""? Me and Drizzy laughed at that They say numbers don't matter but when they discussin' the kings They turn around and say Lebron ain't got six rings I never signed a 360, bitch you wild dumb That's why Jay ain't clear his verse for your album Sheneneh, you a fraud committin' perjury I got before and after pictures of your surgery Rah took you to her doc, but you don't look like Rah Left the operating table, still look like ""nah""  [Hook: Nicki Minaj] 'Cause I don't need no, frauds I don't need no, drama when you call I don't need no, lies Pick a side, pick a side I took the price, and lift that bitch up I took the ice, let me lift my wrist up I took the price, yeah, and lift that bitch up I took the ice, let me lift my wrist up  [Verse 2: Drake] Yeah, yeah, never been no fraud Why do niggas that are not involved love to get involved? Why do niggas claim the streets and act just like the law? Riddles that I cannot seem to solve, man Cristal, come at me, Weezy F and Nick All come and spoke about your shit in '15 Man, I know you niggas saw this one comin' My net worth sound like *grrrrrr* But they don't pay in cash Niggas see me like, ""What up, Killa?"" Man, please stop bringin' up my past I'd really love to leave that behind Sometimes I ask God, ""Man, why him?"" Like the team that I would never leave behind I really gotta ease off the wine Which is funny because I just saw Nick the other day And she keeps getting finer over time I just know  [Hook: Nicki Minaj] I don't need no, frauds I don't need no, drama when you call I don't need no, lies Pick a side, pick a side I took the price, and lift that bitch up I took the ice, let me lift my wrist up I took the price, yeah, and lift that bitch up I took the ice, let me lift my wrist up  [Verse 3: Lil Wayne] Uh, I am not a fraud, YM, I'm the god They don't make 'em like me no more, man, I'm a dinosaur Blunt be tight as biker shorts, twisted like some handlebars Lil' Tune out a cartoon or Avatar I just looked in the mirror like, ""Alright, alright, alright"" I would let that little nigga right there fuck my wife, word I don't need no fraud bitches in and out my life, word In and out my pockets and then in and out of sight, word I don't need no drama, I just need some nana Just told my lil' mama, ""Babe, I think I love you, kinda"" Feelin' like Tune-y Montana, Weezy, he get honored Drake a headliner, and Nicki, she get finer, word  "

Nicki Minaj|Anaconda|  [Produced by Da Internz and Polow Da Don]  [Intro] My anaconda don't, my anaconda don't My anaconda don't want none unless you got buns, hun  [Verse 1] Boy toy named Troy used to live in Detroit Big dope dealer money, he was gettin' some coins Was in shootouts with the law, but he live in a palace Bo-bought me Alexander McQueen, he was keeping me stylish Now that's real, real, real Gun in my purse, bitch, I came dressed to kill Who wanna go first? I had them pushing daffodils I'm high as hell, I only took a half a pill I'm on some dumb shit, by the way, what he say? He can tell I ain't missing no meals Come through and fuck him in my automobile Let him eat it with his grills and he tellin' me to chill And he telling me it's real, that he love my sex appeal Say he don't like 'em boney, he want something he can grab So I pulled up in the Jag, and I hit him with the jab like Dun-d-d-dun-dun-d-d-dun-dun  [Bridge 1] My anaconda don't, my anaconda don't My anaconda don't want none unless you got buns, hun  [Hook] Oh my gosh, look at her butt Oh my gosh, look at her butt (I-ohhaha) Oh my gosh, look at her butt (Look at her butt) Look at, look at, look at Look, at her butt  [Verse 2] Thi-this dude named Michael used to ride motorcycles Di-dick bigger than a tower, I ain't talking about Eiffel's Real country-ass nigga, let me play with his rifle Pussy put his ass to sleep, now he calling me NyQuil Now that bang, bang, bang I let him hit it cause he slang cocaine He toss my salad like his name Romaine And when we done, I make him buy me Balmain I'm on some dumb shit, by the way, what he say? He can tell I ain't missing no meals Come through and fuck him in my automobile Let him eat it with his grills, and he telling me to chill And he telling me it's real, that he love my sex appeal He say he don't like 'em boney, he want something he can grab So I pulled up in the Jag, Mayweather with the jab like Dun-d-d-dun-dun-d-d-dun-dun...  [Bridge 1] My anaconda don't, my anaconda don't My anaconda don't want none unless you got buns, hun  [Hook] Oh my gosh, look at her butt Oh my gosh, look at her butt (I-ohhaha) Oh my gosh, look at her butt (Look at her butt) Look at, look at, look at Look, at her butt  [Bridge 2] Little in the middle but she got much back Little in the middle but she got much back Little in the middle but she got much back (Oh my God, look at her butt)  [Bridge 1] My anaconda don't, my anaconda don't My anaconda don't want none unless you got buns, hun (Do-don't) My anaconda don't (don't) (Do-don't) want none unless you got buns, hun  [Hook] Oh my gosh, look at her butt Oh my gosh, look at her butt Oh my gosh, look at her butt (Look at her butt) Look at, look at, look at Look, at her butt  [Outro] Yeah, he love this fat ass, hahahahahahahaha! Yeah! This one is for my bitches with a fat ass in the fucking club I said, where my fat ass big bitches in the club? Fuck the skinny bitches Fuck the skinny bitches in the club I wanna see all the big fat-ass bitches in the muthafuckin' club Fuck you if you skinny bitches, what?! Kyuh Hahahaha RRRRRR (Kyuh) Yeah, I got a big fat ass (ass, ass, ass, ass) (Kyuh) Come on!  Hey Hey Hey  

Nicki Minaj|Black Barbies|"  [Intro: Nicki Minaj] Mike WiLL Made-It, nigga SremmLife Black Barbies in the city Fat ass and pretty titties Get dummies for they money You sent flowers but I wish I didn't receive ’em All your lies I wish I didn't believe 'em  [Hook: Nicki Minaj] That boy is a real pussy pleaser All that fetty but he never met Masika Tuck the chrome 22 in his sneaker El Chapo but he crazy like La Quica Young girls always lookin' for a soulmate But I shoulda listened to what momma told me Furry moon boots, shades Dita Too high to give a shit about PETA  [Verse 1: Nicki Minaj] Sativa so strong I'm not blinkin' What in the world was I thinkin'? New day, new money to be made New things for them to imitate I'm a fuckin' black barbie Pretty face, perfect body Pink seats in the 'Rari Always fuck him like I'm sorry Who the fuck is gon’ protect her? If I really gotta check her Peter Piper picked a pepper And my cake is triple decker  [Interlude: Nicki Minaj] No Flex Zone, No Flex Zone (Yeah, oh no, no, no, no) No Flex Zone  [Verse 2: Nicki Minaj] I see these silly nigga’s flexin', it’s a no zone You gon' be floatin' in dem rivers like you know Joan Island girl, Donald Trump want me go home Still pull up with my wrist lookin' like a snowcone She said she got a hit record, I said ""Oooh shit!"" Picked up my phone cause I had to call ""Bullshit!"" These bitches havin’ nightmares of my new shit These bitches pussy and they don't ever do shit Hahaha, get it? Douche-...hahahahahahaha Half a mili on the Maybach Pullman, bought it Now I'm prayin'  all my foreigns don't get deported Niggas love me so much they be sendin' me gifts And these clown niggas actin', I'mma send 'em some skits Bitches can't rap for shit, I'mma send 'em some tips All these bitches is my sons, should be suckin' my tits  [Interlude: Nicki Minaj] (Yeah, oh no, no, no, no, yeah, oh no, no, no, no)  [Verse 3: Nicki Minaj] Now usually I don't do this, I'm Popeye, she's Brutus Usually I'm a Christian but this peace is Buddhist All of my niggas draw but none of them Cartoonists Usually I'm the baddest, usually I'm the cutest Usually I'm the flyest, usually you're the stewardess And we ain't playin' ball but usually its some shooters Are these bitches drunk? These bitches ain't lucid Go against the queen your career will be elusive Where your plaques at? Where them stocks? Word to NASDAQ Bitches ass-back, they was never in my tax-brack (Yeah, oh no, no, no, no, yeah, oh no, no, no, no)  [Outro: Swae Lee] That girl is a real crowd pleaser Small world, all her friends know of me Young bull living like an old geezer Quick release the cash, watch it fall slowly Frat girls still tryna get even Haters mad for whatever reason Smoke in the air, binge drinking They lose it when the DJ drops the needle  "

Nicki Minaj|Pills N Potions|  [Pre-Hook] Pills n' potions We're overdosin' I'm angry but I still love you Pills n potions We’re overdosin' Can't stand it but I still love you  [Hook] I still love, I still love, I still love, I still love, I still lo-o-ove I still love, I still love, I still love, I still love, I still love I still love, I still love, I still love, I still love, I still lo-o-ove I still love, I still love, I still love, I still love, I still love  [Verse 1] Ayo, they could never make me hate you Even though what you was doin’ wasn’t tasteful Even though you out here lookin’ so ungrateful I'mma keep it movin’ be classy and graceful I told 'em it’s no friends in the game, you ain’t learned that yet All the bridges you came over, don’t burn that yet Niggas want respect, but niggas ain't earned that yet Self-righteous and entitled but they swearin' on the Bible, that They love you, when really they no different from all your rivals But I still don’t wish death on ‘em, I just reflect on 'em  [Pre-Hook] Pills n' potions We're overdosin' I'm angry but I still love you Pills n potions We’re overdosin' Can't stand it but I still love you  [Hook] I still love, I still love, I still love, I still love, I still lo-o-ove I still love, I still love, I still love, I still love, I still love I still love, I still love, I still love, I still love, I still lo-o-ove I still love, I still love, I still love, I still love, I still love  [Verse 2] Yo, people will love you and support you when it’s beneficial I'mma forgive, I won't forget, but I'mma dead the issue Soon as you out a nigga’s life is when they start to miss you They see you doin' good now, it’s kinda hard to diss you Niggas be sick when they remember all the bad they wished you Niggas be mad when they can't come and live lavish with you But I sped off in a Benzy, I see the envy, when I’m causing a frenzy So I pop pills for 'em, cop cribs in the hills, on ‘em  [Pre-Hook] Pills n' potions We're overdosin' I'm angry but I still love you Pills n potions We’re overdosin' Can't stand it but I still love you  [Hook] I still love, I still love, I still love, I still love, I still lo-o-ove I still love, I still love, I still love, I still love, I still love I still love, I still love, I still love, I still love, I still lo-o-ove I still love, I still love, I still love, I still love, I still love  [Bridge] I get high off your memory I get high off your memory I get high off your memory In due time we’ll be fine In due time  [Hook] I still love, I still love, I still love, I still love, I still lo-o-ove I still love, I still love, I still love, I still love, I still love I still love, I still love, I still love, I still love, I still lo-o-ove I still love, I still love, I still love, I still love, I still love  

50 Cent|21 Questions|  [Produced by Dirty Swift]  [Intro: 50 Cent] I just want to chill and twist the lye Catch stunts in my 7-45 You drive me crazy, shorty, I Need to see you and feel you next to me I provide everything you need, and I Like your smile, I don't want to see you cry Got some questions that I got to ask And I hope you can come up with the answers, babe  [Hook: Nate Dogg] Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me?  [Verse 1: 50 Cent] If I fell off tomorrow, would you still love me? If I didn't smell so good, would you still hug me? If I got locked up and sentenced to a quarter century Could I count on you to be there to support me mentally? If I went back to a hoopty from a Benz Would you poof and disappear like some of my friends? If I was hit and I was hurt, would you be by my side? If it was time to put in work, would you be down to ride? I get out and peel a nigga cap, chill and drive I'm askin' questions to find out how you feel inside If I ain't rap ‘cause I flip burgers at Burger King Would you be ashamed to tell your friends you're feelin' me? In the bed, if I used my tongue, would you like that? If I wrote you a love letter, would you write back? Now we can have a little drink, you know, a nightcap And we could go do what you like, I know you like that  [Hook: Nate Dogg] Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me?  [Verse 2: 50 Cent] Would you leave me if your father found out I was thuggin'? Do you believe me when I tell you, you the one I'm lovin'? Are you mad ‘cause I'm askin' you 21 questions? Are you my soulmate? ‘Cause if so, girl, you a blessing Do you trust me enough to tell me your dreams? I'm starin' at you, tryna figure how you got in them jeans If I was down, would you say things to make me smile? I'll treat you how you want to be treated, just teach me how If I was with some other chick and someone happened to see And when you asked me about it I said it wasn't me Would you believe me, or up and leave me? How deep is our bond if that's all it takes for you to be gone? We only humans, girl, we make mistakes To make it up, I'll do whatever it take I love you like a fat kid love cake You know my style, I say anything to make you smile  [Hook: Nate Dogg] Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me?  [Outro: Nate Dogg] Could you love me in a Bentley? Could you love me on a bus? I'll ask 21 questions And they all about us  

